customer_id,first_name,last_name,email,phone,city,state,signup_date,created_at,loyalty_tier
C0063,Neha,Das,user63@sample.org,+91-7118543408,chennai,TS,2025-05-08,2025-05-08 09:00:00,gold
C0064,Ravi,Reddy,user64@example.com,+91-9562254028,Chennai,DL,2025-12-31,2025-12-31 09:00:00,gold
C0065,Kiran,Iyer,user65@example.com,unknown,Delhi,DL,2025-10-23,2025-10-23 09:00:00,
C0066,AARAV,Das,user66@riskmail.biz,+91-7007263971,Mumbai,TN,2025-12-25,2025-12-25 09:00:00,
C0067,Maya,Das,user67@mail.com,+91-8564319318,Pune,DL,2025-04-15,2025-04-15 09:00:00,bronze
C0068,Kiran,Khan,bad-email,+91-9849227494,Mumbai,TS,2025-04-26,2025-04-26 09:00:00,
C0069,Ravi,Das,user69@riskmail.biz,+91-8400944900,Chennai,DL,2025-10-30,2025-10-30 09:00:00,
C0070,Isha,Sharma,user70@riskmail.biz,+91-9855850145,Chennai,DL,2025-11-01,2025-11-01 09:00:00,
C0071,Kiran,Khan,user71@riskmail.biz,+91-9353372386,Chennai,TS,2026-01-02,2026-01-02 09:00:00,gold
C0072,Neha,Iyer,user72@sample.org,+91-8997109065,bengaluru,DL,2025-11-06,2025-11-06 09:00:00,platinum
C0073,Kiran,Patel,user73@mail.com,+91-9829742424,Bengaluru,TS,2025-04-21,2025-04-21 09:00:00,gold
C0074,Maya,Iyer,user74@sample.org,+91-7401094954,Pune,KA,2025-07-12,2025-07-12 09:00:00,
C0075,Isha,Sharma,user75@example.com,+91-7198486416,Bengaluru,KA,2025-10-25,2025-10-25 09:00:00,platinum
C0076,Aarav,Patel,user76@riskmail.biz,+91-9704821724,Kolkata,TN,31-31-2024,2025-05-24 09:00:00,silver
C0077,NEHA,Patel,user77@mail.com,+91-7633814084,Delhi,WB,2025-04-10,2025-04-10 09:00:00,
C0078,Aarav,Patel,user78@mail.com,unknown,Kolkata,KA,2026-03-30,2026-03-30 09:00:00,
C0079,Aarav,Iyer,user79@mail.com,+91-7521231222,Delhi,DL,2025-07-10,2025-07-10 09:00:00,silver
C0080,Kiran,Iyer,user80@sample.org,+91-8900838388,Pune,TN,2025-08-07,2025-08-07 09:00:00,
C0081,Kiran,Patel,user81@mail.com,+91-9038711176,delhi,DL,2025-07-17,2025-07-17 09:00:00,gold
C0082,Maya,Khan,user82@riskmail.biz,+91-9691864041,Kolkata,KA,2025-11-26,2025-11-26 09:00:00,gold
C0083,Maya,Khan,user83@mail.com,+91-8167007513,Hyderabad,MH,2025-08-19,2025-08-19 09:00:00,gold
C0084,Isha,Sharma,user84@mail.com,+91-8645124051,Hyderabad,WB,2025-06-29,2025-06-29 09:00:00,silver
C0085,Aarav,Patel,bad-email,+91-8750625978,Bengaluru,MH,2025-04-05,2025-04-05 09:00:00,
C0086,Aarav,Sharma,user86@riskmail.biz,+91-8672790155,Delhi,TN,2025-08-06,2025-08-06 09:00:00,
C0087,Kiran,Patel,user87@riskmail.biz,+91-7025323460,Kolkata,MH,2026-03-22,2026-03-22 09:00:00,gold
C0088,NEHA,Iyer,user88@mail.com,+91-9096929657,Kolkata,KA,2025-09-14,2025-09-14 09:00:00,gold
C0089,Aarav,Patel,user89@sample.org,+91-9872790327,Delhi,WB,2025-08-21,2025-08-21 09:00:00,platinum
C0090,Neha,Sharma,user90@example.com,+91-8692304102,kolkata,TN,2026-01-07,2026-01-07 09:00:00,
C0091,Aarav,Das,user91@riskmail.biz,unknown,Hyderabad,KA,2025-04-27,2025-04-27 09:00:00,platinum
C0092,Ravi,Patel,user92@sample.org,+91-7909074012,Hyderabad,DL,2025-12-29,2025-12-29 09:00:00,gold
C0093,Neha,Khan,user93@riskmail.biz,+91-8083497965,Kolkata,TS,2025-10-11,2025-10-11 09:00:00,platinum
C0094,Kiran,Reddy,user94@sample.org,+91-7963026855,Pune,WB,2026-03-23,2026-03-23 09:00:00,bronze
C0095,Aarav,Sharma,user95@mail.com,+91-7087531510,Hyderabad,TN,31-31-2024,2025-05-03 09:00:00,silver
C0096,Neha,Das,user96@example.com,+91-9422230882,Bengaluru,KA,2025-11-30,2025-11-30 09:00:00,platinum
C0097,Ravi,Sharma,user97@example.com,+91-7703368777,Mumbai,MH,2025-04-08,2025-04-08 09:00:00,bronze
C0098,Ravi,Iyer,user98@riskmail.biz,+91-8703617827,Hyderabad,WB,2025-06-09,2025-06-09 09:00:00,silver
C0099,MAYA,Das,user99@mail.com,+91-7437662764,chennai,WB,2026-02-22,2026-02-22 09:00:00,gold
C0100,Aarav,Iyer,user100@example.com,+91-8491228808,Chennai,TN,2025-04-16,2025-04-16 09:00:00,platinum
C0101,Aarav,Iyer,user101@sample.org,+91-7054340558,Mumbai,DL,2025-04-28,2025-04-28 09:00:00,platinum
C0102,Ravi,Das,bad-email,+91-8974565461,Delhi,WB,2026-02-06,2026-02-06 09:00:00,silver
C0103,Maya,Iyer,user103@sample.org,+91-9645323395,Bengaluru,TN,2025-08-22,2025-08-22 09:00:00,platinum
C0104,Maya,Iyer,user104@sample.org,unknown,Delhi,MH,2025-08-06,2025-08-06 09:00:00,silver
C0105,Neha,Sharma,user105@riskmail.biz,+91-9447485590,Mumbai,TN,2026-02-16,2026-02-16 09:00:00,
C0106,Aarav,Patel,user106@sample.org,+91-7780996231,Mumbai,DL,2025-09-19,2025-09-19 09:00:00,silver
C0107,Ravi,Khan,user107@sample.org,+91-9560466250,Kolkata,WB,2025-10-02,2025-10-02 09:00:00,gold
C0108,Kiran,Sharma,user108@example.com,+91-8036616336,hyderabad,WB,2025-06-21,2025-06-21 09:00:00,platinum
C0109,Isha,Das,user109@riskmail.biz,+91-9774131811,Chennai,WB,2025-07-25,2025-07-25 09:00:00,platinum
C0110,AARAV,Reddy,user110@sample.org,+91-7951749308,Kolkata,DL,2025-08-15,2025-08-15 09:00:00,
C0111,Maya,Iyer,user111@sample.org,+91-9032638323,Mumbai,TN,2025-11-28,2025-11-28 09:00:00,
C0112,Maya,Iyer,user112@sample.org,+91-8511014697,Delhi,WB,2025-10-07,2025-10-07 09:00:00,platinum
C0113,Ravi,Sharma,user113@example.com,+91-7827143233,Mumbai,MH,2025-11-14,2025-11-14 09:00:00,bronze
C0114,Maya,Sharma,user114@mail.com,+91-7929364954,Kolkata,WB,31-31-2024,2025-07-01 09:00:00,platinum
C0115,Kiran,Iyer,user115@sample.org,+91-7431756350,Pune,KA,2025-11-11,2025-11-11 09:00:00,gold
C0116,Isha,Khan,user116@example.com,+91-9294092753,Mumbai,KA,2025-12-06,2025-12-06 09:00:00,gold
C0117,Kiran,Khan,user117@mail.com,unknown,hyderabad,WB,2026-03-09,2026-03-09 09:00:00,platinum
C0118,Aarav,Iyer,user118@sample.org,+91-9016044512,Kolkata,DL,2026-02-08,2026-02-08 09:00:00,platinum
C0119,Aarav,Khan,bad-email,+91-9051831252,Bengaluru,TS,2025-10-09,2025-10-09 09:00:00,bronze
C0120,Aarav,Iyer,user120@example.com,+91-7651662547,Delhi,KA,2025-09-08,2025-09-08 09:00:00,
C0006,Ravi,Reddy,user6@example.com,+91-8631775357,Kolkata,TS,2025-12-12,2025-12-12 09:00:00,gold
,Missing,Customer,missing@example.com,9999999999,Hyderabad,TS,2026-01-01,not-a-date,gold
C9999,Corrupt,Line,too,many,columns,for,this,file,extra
